Punto,Fecha ,Condicion,Tiempo,LeqAS,LmaxAS,LminAS,L1,L10,L50,L90,Lpeak
1,N,SIN,A,62.30,68.31,59.82,65.96,63.74,61.85,60.82,68.31
1,N,CON,A,65.33,79.26,60.10,71.94,67.78,63.72,61.58,79.26
1,N,SIN,B,62.59,68.31,59.82,66.53,64.23,62.12,60.76,68.31
1,N,CON,B,66.67,79.26,60.72,73.46,69.22,65.25,62.52,79.26
1,N,SIN,C,63.25,68.31,60.49,66.94,64.82,62.85,61.44,68.31
1,N,CON,C,67.98,79.26,61.50,75.99,70.30,66.62,64.49,79.26
1,AN,SIN,A,61.04,71.96,57.80,65.54,62.53,60.37,58.96,71.96
1,AN,CON,A,71.39,92.04,57.84,84.32,71.88,64.73,59.39,92.04
1,AN,SIN,B,60.59,71.96,57.80,66.16,61.84,59.68,58.83,71.96
1,AN,CON,B,74.11,92.04,60.71,86.14,74.22,68.88,64.61,92.04
1,AN,SIN,C,61.24,71.96,58.33,67.96,63.44,59.91,58.99,71.96
1,AN,CON,C,76.50,92.04,65.31,87.95,80.08,70.88,68.39,92.04
2,N,SIN,A,50.42,65.12,46.24,55.68,52.14,49.69,48.14,65.12
2,N,CON,A,56.66,73.85,48.14,69.59,58.28,52.49,50.16,73.85
2,N,SIN,B,50.09,57.18,46.24,55.29,51.99,49.39,47.84,57.18
2,N,CON,B,58.65,73.85,48.36,71.30,60.16,54.01,50.84,73.85
2,N,SIN,C,49.98,56.37,46.24,54.89,52.04,49.24,47.65,56.37
2,N,CON,C,60.88,73.85,48.42,72.04,62.52,56.07,52.75,73.85
2,AN,SIN,A,51.18,64.92,45.95,56.89,53.51,50.24,48.02,64.92
2,AN,CON,A,59.76,74.13,47.96,70.98,61.64,54.81,50.91,74.13
2,AN,SIN,B,51.70,64.92,45.95,57.25,54.39,50.56,48.00,64.92
2,AN,CON,B,61.54,73.15,50.44,71.10,65.33,58.26,53.86,73.15
2,AN,SIN,C,52.22,64.92,45.95,57.28,54.97,51.06,48.11,64.92
2,AN,CON,C,63.08,72.33,55.06,71.22,67.39,59.79,57.39,72.33
3,N,SIN,A,53.26,61.06,48.91,57.51,55.43,52.64,50.61,61.06
3,N,CON,A,57.73,71.96,50.24,67.48,60.01,55.67,52.44,71.96
3,N,SIN,B,53.79,61.06,49.41,57.70,55.71,53.23,51.42,61.06
3,N,CON,B,59.33,71.96,50.89,68.88,61.93,56.62,53.63,71.96
3,N,SIN,C,54.10,61.06,49.61,58.10,56.01,53.46,51.73,61.06
3,N,CON,C,60.64,70.21,53.16,68.93,63.24,58.26,55.60,70.21
3,AN,SIN,A,52.48,65.42,46.88,59.30,54.87,51.09,48.75,65.42
3,AN,CON,A,62.23,75.35,50.14,72.37,65.92,57.24,52.55,75.35
3,AN,SIN,B,53.18,65.42,47.58,60.84,55.72,51.53,48.91,65.42
3,AN,CON,B,64.75,75.35,52.81,73.10,68.21,62.85,56.40,75.35
3,AN,SIN,C,53.09,62.94,47.58,60.60,56.22,50.99,48.54,62.94
3,AN,CON,C,66.16,75.35,57.72,73.18,69.21,64.61,60.94,75.35
4,N,SIN,A,44.40,60.63,39.40,54.43,46.10,41.92,40.85,60.63
4,N,CON,A,47.39,63.03,40.09,56.93,49.83,44.75,42.23,63.03
4,N,SIN,B,43.03,52.99,39.40,49.04,44.98,41.82,40.79,52.99
4,N,CON,B,48.92,63.03,42.03,58.40,51.46,46.29,43.68,63.03
4,N,SIN,C,43.87,52.99,39.50,50.29,46.96,42.27,41.02,52.99
4,N,CON,C,49.43,59.27,42.03,57.95,52.32,47.32,44.79,59.27
4,AN,SIN,A,62.56,78.51,49.96,73.67,65.35,58.40,53.89,78.51
4,AN,CON,A,64.97,77.02,56.25,73.07,68.00,62.90,59.85,77.02
4,AN,SIN,B,61.79,78.51,49.96,71.15,64.47,58.37,53.83,78.51
4,AN,CON,B,65.24,76.40,56.65,72.90,68.25,63.21,60.23,76.40
4,AN,SIN,C,60.02,73.19,51.34,69.98,62.86,57.06,53.27,73.19
4,AN,CON,C,65.50,74.45,57.79,72.47,68.93,63.42,60.96,74.45
5,N,SIN,A,55.19,63.03,41.68,61.39,58.62,53.90,46.18,63.03
5,N,CON,A,60.47,73.79,44.78,69.81,63.38,58.50,49.09,73.79
5,N,SIN,B,56.72,62.60,43.92,61.48,59.47,55.94,51.76,62.60
5,N,CON,B,60.75,65.87,49.34,64.72,63.13,60.62,54.71,65.87
5,N,SIN,C,57.58,62.60,43.92,61.66,59.28,57.62,53.36,62.60
5,N,CON,C,61.88,65.87,49.34,64.90,63.67,62.01,57.65,65.87
5,AN,SIN,A,39.33,47.08,33.79,45.11,43.11,36.84,34.80,47.08
5,AN,CON,A,46.06,67.34,33.55,55.29,48.45,40.70,35.11,67.34
5,AN,SIN,B,38.00,47.08,34.29,44.85,41.07,36.13,34.91,47.08
5,AN,CON,B,48.61,67.34,35.35,56.38,51.40,44.15,40.21,67.34
5,AN,SIN,C,38.96,47.08,34.51,45.58,43.00,36.46,35.13,47.08
5,AN,CON,C,48.62,59.56,40.33,55.73,52.49,46.33,42.70,59.56
6,N,SIN,A,48.75,65.91,41.12,56.14,51.43,46.35,43.69,65.91
6,N,CON,A,52.93,66.79,42.35,62.60,56.43,49.32,44.97,66.79
6,N,SIN,B,49.92,65.91,41.74,57.31,52.88,46.86,44.38,65.91
6,N,CON,B,54.49,66.79,44.73,63.80,57.51,51.65,47.48,66.79
6,N,SIN,C,50.55,65.91,41.74,62.15,53.11,46.67,44.43,65.91
6,N,CON,C,56.32,66.79,48.21,64.52,59.98,53.69,50.63,66.79
6,AN,SIN,A,39.95,56.19,34.53,49.66,41.87,37.37,35.92,56.19
6,AN,CON,A,46.51,59.43,36.01,57.05,49.71,42.85,38.17,59.43
6,AN,SIN,B,40.44,56.19,35.46,50.03,42.49,37.67,36.35,56.19
6,AN,CON,B,48.51,58.71,40.85,57.45,50.81,46.55,42.65,58.71
6,AN,SIN,C,40.40,56.19,35.46,50.37,42.30,37.48,36.37,56.19
6,AN,CON,C,49.56,58.62,43.29,57.17,51.44,48.28,46.02,58.62
7,N,SIN,A,50.07,56.89,45.97,54.34,51.82,49.57,47.96,56.89
7,N,CON,A,68.32,85.44,47.09,81.18,70.30,54.48,50.37,85.44
7,N,SIN,B,50.54,56.89,46.12,55.06,52.44,49.91,48.24,56.89
7,N,CON,B,69.60,85.44,49.36,81.97,71.12,57.57,52.99,85.44
7,N,SIN,C,50.99,56.89,46.12,55.49,53.00,50.42,48.48,56.89
7,N,CON,C,62.82,71.64,50.44,70.42,67.22,59.30,54.43,71.64
7,AN,SIN,A,45.67,57.81,41.25,52.75,47.29,44.91,42.35,57.81
7,AN,CON,A,56.96,69.28,45.55,64.75,61.51,52.01,47.46,69.28
7,AN,SIN,B,46.54,57.38,42.28,52.71,47.98,45.74,44.19,57.38
7,AN,CON,B,59.46,69.28,47.67,65.52,62.85,58.21,52.15,69.28
7,AN,SIN,C,46.02,54.07,42.28,51.69,47.45,45.51,43.84,54.07
7,AN,CON,C,60.87,69.28,51.50,65.43,63.59,60.15,55.75,69.28
8,N,SIN,A,55.13,70.20,48.38,63.69,57.80,52.90,50.43,70.20
8,N,CON,A,64.73,81.67,50.33,75.56,66.93,60.99,53.08,81.67
8,N,SIN,B,54.78,66.52,48.38,62.69,57.82,53.17,50.63,66.52
8,N,CON,B,66.68,81.67,50.37,78.54,68.97,63.53,55.37,81.67
8,N,SIN,C,54.60,65.90,48.38,61.20,57.97,53.05,50.56,65.90
8,N,CON,C,68.84,81.67,57.91,79.16,71.79,65.24,62.48,81.67
8,AN,SIN,A,37.48,47.09,32.83,42.37,39.58,36.84,34.75,47.09
8,AN,CON,A,51.03,70.92,35.29,63.08,52.82,41.68,37.22,70.92
8,AN,SIN,B,37.42,47.09,33.73,42.52,39.04,36.83,35.14,47.09
8,AN,CON,B,53.23,70.92,37.85,63.76,55.85,46.96,41.62,70.92
8,AN,SIN,C,37.32,47.09,33.73,42.95,39.01,36.39,34.94,47.09
8,AN,CON,C,51.68,65.18,40.74,61.35,54.18,49.26,43.33,65.18
9,N,SIN,A,53.29,71.16,43.46,66.58,52.75,48.55,46.49,71.16
9,N,CON,A,73.63,96.15,41.51,85.06,74.26,48.09,44.85,96.15
9,N,SIN,B,54.92,71.16,45.25,67.55,55.23,48.61,46.86,71.16
9,N,CON,B,76.63,96.15,41.52,88.18,80.17,54.95,45.35,96.15
9,N,SIN,C,50.33,62.77,45.69,56.90,52.60,48.89,47.03,62.77
9,N,CON,C,79.63,96.15,44.83,92.68,82.59,71.23,50.71,96.15
9,AN,SIN,A,52.84,68.35,47.30,60.00,54.51,51.43,49.17,68.35
9,AN,CON,A,64.69,80.69,51.36,75.34,67.78,60.69,55.68,80.69
9,AN,SIN,B,53.56,68.35,47.71,62.03,55.28,51.59,49.19,68.35
9,AN,CON,B,67.01,80.69,55.04,77.23,69.92,63.52,59.50,80.69
9,AN,SIN,C,54.27,68.35,47.71,64.91,56.25,51.39,49.14,68.35
9,AN,CON,C,68.90,80.69,55.45,77.84,71.77,66.66,61.62,80.69
10,N,SIN,A,46.95,53.93,40.43,50.62,48.45,46.79,44.37,53.93
10,N,CON,A,50.79,65.29,42.27,59.00,54.06,48.43,46.00,65.29
10,N,SIN,B,47.76,53.93,44.39,52.44,48.86,47.45,46.32,53.93
10,N,CON,B,52.33,65.29,42.27,59.95,55.77,49.88,45.77,65.29
10,N,SIN,C,48.01,53.93,44.73,52.91,49.02,47.65,46.46,53.93
10,N,CON,C,53.79,65.29,45.62,60.93,57.01,52.19,48.23,65.29
10,AN,SIN,A,56.62,70.58,49.75,63.39,59.03,55.15,53.08,70.58
10,AN,CON,A,65.41,80.87,49.76,75.26,68.77,62.24,57.01,80.87
10,AN,SIN,B,57.00,68.38,51.49,63.67,59.89,55.32,53.11,68.38
10,AN,CON,B,67.48,80.87,57.43,76.14,70.14,65.62,60.60,80.87
10,AN,SIN,C,58.12,68.38,52.44,64.44,61.22,56.47,53.90,68.38
10,AN,CON,C,68.56,77.63,60.85,76.07,70.64,67.56,64.35,77.63
11,N,SIN,A,57.22,72.40,48.70,,57.12,57.12,57.12,
11,N,CON,A,74.23,90.80,55.20,,74.13,74.13,74.13,
11,N,SIN,B,58.09,72.40,49.30,,57.99,57.99,57.99,
11,N,CON,B,75.44,90.80,55.20,,75.34,75.34,75.34,
11,N,SIN,C,58.90,72.40,49.80,,58.80,58.80,58.80,
11,N,CON,C,77.49,90.80,58.50,,77.39,77.39,77.39,
11,AN,SIN,A,54.24,69.00,38.00,,54.14,54.14,54.14,
11,AN,CON,A,78.40,96.80,44.00,,78.30,78.30,78.30,
11,AN,SIN,B,54.54,69.00,44.40,,54.44,54.44,54.44,
11,AN,CON,B,81.37,96.80,48.70,,81.27,81.27,81.27,
11,AN,SIN,C,54.24,69.00,44.40,,54.14,54.14,54.14,
11,AN,CON,C,84.13,96.80,50.30,,84.03,84.03,84.03,
12,N,SIN,A,58.52,,,,,,,
12,N,CON,A,69.30,,,,,,,
12,N,SIN,B,59.57,,,,,,,
12,N,CON,B,72.11,,,,,,,
12,N,SIN,C,58.94,,,,,,,
12,N,CON,C,74.89,,,,,,,
12,AN,SIN,A,55.13,,,,,,,
12,AN,CON,A,62.95,,,,,,,
12,AN,SIN,B,54.85,,,,,,,
12,AN,CON,B,65.42,,,,,,,
12,AN,SIN,C,52.83,,,,,,,
12,AN,CON,C,67.36,,,,,,,
